,YEAR,MAKE,MODEL,FUEL_TYPE,PRICE,KM_DRIVEN,TRANSMISSION,WHEEL_TYPE,EMI_PER_MONTH,LOCATION
0,2015,Hyundai,Creta S,Diesel,8.50,"61,718",Manual,Alloy wheels,"18,481","Garuda Mall, Magrath Road, Bengaluru"
1,2013,Honda,City 1.5L,Petrol,4.64,"84,818",Manual,Alloy wheels,"12,219","Whitefield Main Road, Bhoruka Tech Park, Benga..."
2,2015,Renault,Duster 110,Diesel,5.74,"94,510",Manual,Reg. serviced,"12,768","Bellahalli, Bengaluru"
3,2021,Tata,PUNCH ACCOMPLISHED,Petrol,8.49,"8,945",Automatic,Top Model,"16,160","Garuda Mall, Magrath Road, Bengaluru"
4,2016,Ford,Ecosport TITANIUM,Petrol,6.16,"71,617",Manual,Spl. reg. no.,"12,043","Garuda Mall, Magrath Road, Bengaluru"
5,2017,Renault,Duster 85,Diesel,7.75,"71,918",Manual,Reg. serviced,"15,151","Garuda Mall, Magrath Road, Bengaluru"
6,2015,Mahindra,XUV500 W6,Diesel,7.85,"98,338",Manual,Alloy wheels,"17,462","Bellahalli, Bengaluru"
7,2019,Toyota,Glanza G,Petrol,6.81,"53,435",Manual,Alloy wheels,"13,314","Bellahalli, Bengaluru"
8,2020,Tata,ALTROZ XZ,Petrol,7.35,"11,336",Manual,Low run cost,"14,370","Bellahalli, Bengaluru"
9,2017,Datsun,Redi Go,Petrol,2.62,"43,814",Manual,Alloy wheels,"5,122","Bellahalli, Bengaluru"
10,2018,Maruti,Baleno RS,Petrol,6.54,"61,005",Manual,Alloy wheels,"12,786","Whitefield Main Road, Bhoruka Tech Park, Benga..."
11,2023,Mahindra,Thar LX,Petrol,14.90,"11,796",Automatic,Top Model,"28,361","Garuda Mall, Magrath Road, Bengaluru"
12,2019,MG,HECTOR SHARP,Petrol,14.32,"32,644",Automatic,Top Model,"27,257","Bellahalli, Bengaluru"
13,2020,Maruti,S PRESSO,Petrol,4.86,"18,106",Automatic,Alloy wheels,"9,508","Bellahalli, Bengaluru"
